CPT Code,Description
0014F,"Comprehensive preoperative assessment performed for cataract surgery with intraocular lens (IOL) placement (includes assessment of all of the following components) (EC): Dilated fundus evaluation performed within 12 months prior to cataract surgery (2020F) Pre-surgical (cataract) axial length, corneal power measurement and method of intraocular lens power calculation documented (must be performed within 12 months prior to surgery) (3073F) Preoperative assessment of functional or medical indication(s) for surgery prior to the cataract surgery with intraocular lens placement (must be performed within 12 months prior to cataract surgery) (3325F)"
0014U,"Next-generation sequencing of whole genome for detection of gene rearrangement associated with hematolymphoid cancer, in bone marrow specimen, with report of specific gene rearrangement"
0015F,Melanoma follow up completed (includes assessment of all of the following components) (ML): History obtained regarding new or changing moles (1050F) Complete physical skin exam performed (2029F) Patient counseled to perform a monthly self skin examination (5005F)
00160,Anesthesia for procedures on nose and accessory sinuses; not otherwise specified
00162,Anesthesia for procedures on nose and accessory sinuses; radical surgery
00164,"Anesthesia for procedures on nose and accessory sinuses; biopsy, soft tissue"
0016U,"RNA analysis for detection of BCR/ABL1 major and minor breakpoint fusion transcripts associated with hematolymphoid cancer using quantitative PCR in blood specimen, with report of fusion not detected or detected with quantitation"
00170,"Anesthesia for intraoral procedures, including biopsy; not otherwise specified"
00172,"Anesthesia for intraoral procedures, including biopsy; repair of cleft palate"
00174,Anesthesia for excision of retropharyngeal tumor
00176,"Anesthesia for intraoral procedures, including biopsy; radical surgery"
0017U,"DNA analysis for detection of JAK2 mutation associated with hematolymphoid cancer by PCR of exons 12-14 and sequence analysis in blood specimen, with report"
0018U,"Thyroid cancer microRNA profiling by RT-PCR of 10 microRNA sequences in fine needle aspirate, algorithm reported as a positive or negative result for moderate to high risk of malignancy"
00190,Anesthesia for procedures on facial bones or skull; not otherwise specified
00192,Anesthesia for procedures on facial bones or skull; radical surgery (including prognathism)
0019U,"Cancer RNA gene expression profiling by whole transcriptome sequencing in formalin-fixed paraffin embedded tissue, predictive algorithm reported as potential targets for therapeutic agents"
00210,Anesthesia for intracranial procedures; not otherwise specified
00211,Anesthesia for intracranial procedures; craniotomy or craniectomy for evacuation of hematoma
00212,Anesthesia for intracranial procedures; subdural taps
00214,"Anesthesia for intracranial procedures; burr holes, including ventriculography"
00215,"Anesthesia for intracranial procedures; cranioplasty or elevation of depressed skull fracture, extradural (simple or compound)"
00216,Anesthesia for intracranial procedures; vascular procedures
00218,Anesthesia for intracranial procedure in sitting position
0021U,"Detection of autoantibodies ARF 6, NKX3-1, 5-UTR-BMI1, CEP 164, 3-UTR-Ropporin, Desmocollin, AURKAIP-1, and CSNK2A2 in serum using multiplexed immunoassay and flow cytometry for assessment of prostate cancer risk, algorithm reported as risk score"
00220,Anesthesia for intracranial procedures; cerebrospinal fluid shunting procedures
00222,Anesthesia for intracranial procedures; electrocoagulation of intracranial nerve
0022U,"Targeted DNA and RNA genomic sequence analysis of 23 genes with interrogation for sequence variants and rearrangements for assessment of non-small cell lung cancer, reported as presence/absence of variants and associated therapy considerations"
0023U,"DNA genotyping of internal tandem duplication, p.D835, p.I836 in mononuclear cells for assessment of acute myelogenous leukemia, reported as detection or non-detection of FLT3 mutation and indication for or against the use of midostaurin"
0024U,Quantitative measurement of glycosylated acute phase proteins using nuclear magnetic resonance spectroscopy
0025U,Quantitative measurement of tenofovir in urine using liquid chromatography with tandem mass spectrometry
0026U,"DNA and RNA next-generation sequencing of 112 genes with interrogation for sequence variants and rearrangements in fine needle aspirate of thyroid nodule for assessment of thyroid cancer, algorithmic analysis reported as a categorical result"
0027U,Janus kinase 2 (JAK2) gene analysis of exons 12-15
0029U,Drug metabolism targeted gene sequence analysis
00300,"Anesthesia for all procedures on the integumentary system, muscles and nerves of head, neck, and posterior trunk, not otherwise specified"
0030U,Warfarin metabolism targeted gene sequence analysis
0031A,Adm sarscov2 vac ad26 .5ml
0031U,"Cytochrome P450 family 1, subfamily A, member 2 (CYP1A2) gene analysis for detection of common variants"
00320,"Anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; not otherwise specified, age 1 year or older"
00322,"Anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; needle biopsy of thyroid"
00326,Anesthesia for all procedures on the larynx and trachea in children younger than 1 year of age
0032U,Catechol-O-methyltransferase (COMT) gene analysis for detection of c.472G>A (rs4680) variant
0033U,5-hydroxytryptamine receptor 2A (HTR2A) and 5-hydroxytryptamine receptor 2C (HTR2C) gene analysis for detection of common variants
0034U,Thiopurine S-methyltransferase (TPMT) and Nudix hydroxylase 15 (NUDT15) gene analysis for detection of common variants
00350,Anesthesia for procedures on major vessels of neck; not otherwise specified
00352,Anesthesia for procedures on major vessels of neck; simple ligation
0035U,Qualitative detection of prion protein in cerebrospinal fluid using quaking-induced conformational conversion
0036U,Exome gene sequence analysis in paired formalin fixed paraffin embedded tumor tissue and normal specimen
0037U,"Acute myelogenous leukemia targeted DNA sequencing analysis of 324 genes with interrogation for sequence variants, gene copy number amplifications, gene rearrangements, microsatellite instability and tumor mutational burden"
0038U,"Quantitative measurement of Vitamin D, 25 hydroxy D2 and D3 in serum microsample using liquid chromatography with tandem mass spectrometry"
0039U,Assay for high-avidity anti double-stranded DNA antibody
00400,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; not otherwise specified"
00402,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; reconstructive procedures on breast (eg, reduction or augmentation mammoplasty, muscle flaps)"
00404,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; radical or modified radical procedures on breast"
00406,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; radical or modified radical procedures on breast with internal mammary node dissection"
0040U,Quantitative major breakpoint tranlocation analysis of BCR/ABL1 (t(9;22))
00410,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; electrical conversion of arrhythmias"
0041U,Detection of Borrelia burgdorferi IgM antibody to 5 recombinant protein groups using immunoblot
0042T,"Computed tomography (CT) of brain blood flow, volume, and timing of flow analysis with contrast"
0042U,Detection of Borrelia burgdorferi IgG antibody to 12 recombinant protein groups using immunoblot
0043U,Detection of Tick-Borne Relapsing Fever Borrelia group IgM antibody to 4 recombinant protein groups using immunoblot
0044U,Detection of Tick-Borne Relapsing Fever Borrelia group IgG antibody to 4 recombinant protein groups using immunoblot
00450,Anesthesia for procedures on clavicle and scapula; not otherwise specified
00454,Anesthesia for procedures on clavicle and scapula; biopsy of clavicle
0045U,"Breast ductal carcinoma mRNA gene expression profiling using real-time RT-PCR of 12 genes (7 content and 5 housekeeping) in formalin-fixed paraffin-embedded tissue, algorithm reported as a recurrence risk score"
0046U,Fms-related tyrosine kinase 3 (FLT3) quantitative gene analysis for internal tandem duplication variants
00470,Anesthesia for partial rib resection; not otherwise specified
00472,Anesthesia for partial rib resection; thoracoplasty (any type)
00474,"Anesthesia for partial rib resection; radical procedures (eg, pectus excavatum)"
0047U,"Prostate cancer mRNA gene expression profiling using real-time RT-PCR of 17 genes (12 content and 5 housekeeping) in formalin-fixed paraffin-embedded tissue, algorithm reported as a risk score"
0048U,"Solid organ neoplasia targeted DNA sequencing of protein-coding exons of 468 cancer-associated genes with interrogation for somatic mutations and microsatellite instability, in formalin-fixed paraffin-embedded tissue matched with normal specimens report of clinically significant mutation"
0049U,Nucleophosmin (NPM1) quantitative gene analysis
00500,Anesthesia for all procedures on esophagus
0050U,"Acute myelogenous leukemia targeted DNA sequencing analysis of 194 genes with interrogation for sequence variants, copy number variants or rearrangements"
0051U,"Prescription drug monitoring panel of 31 drugs in urine using liquid chromatography and tandem mass spectrometry, reported as quantitative results, detected or not detected"
00520,Anesthesia for closed chest procedures; (including bronchoscopy) not otherwise specified
00522,Anesthesia for closed chest procedures; needle biopsy of pleura
00524,Anesthesia for closed chest procedures; pneumocentesis
00528,Anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy not utilizing 1 lung ventilation
00529,Anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy utilizing 1 lung ventilation
0052U,"High resolution fractionation and quantitation of all five major lipoprotein classes and subclasses of high-density lipoprotein, low-density lipoprotein, and very low-density lipoprotein in blood using vertical auto profile ultracentrifugation"
00530,Anesthesia for permanent transvenous pacemaker insertion
00532,Anesthesia for access to central venous circulation
00534,Anesthesia for transvenous insertion or replacement of pacing cardioverter-defibrillator
00537,Anesthesia for cardiac electrophysiologic procedures including radiofrequency ablation
00539,Anesthesia for tracheobronchial reconstruction
0053U,"Prostate cancer FISH analysis of 4 genes (ASAP1, HDAC9, CHD1 and PTEN) in needle biopsy specimen, algorithm reported as probability of higher tumor grade"
00540,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); not otherwise specified"
00541,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); utilizing 1 lung ventilation"
00542,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); decortication"
00546,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); pulmonary resection with thoracoplasty"
00548,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); intrathoracic procedures on the trachea and bronchi"
0054T,"Computer-assisted, fluoroscopic image-guided musculoskeletal surgical navigational orthopedic operation"
0054U,"Prescription drug monitoring of 14 or more classes of drugs and substances in capillary blood using definitive tandem mass spectrometry with chromatography, with quantitative reporting of therapeutic and toxic ranges"
00550,Anesthesia for sternal debridement
0055T,Musculoskeletal surgical navigational orthopedic operation using imaging guidance
0055U,Assay of 96 cell-free DNA target sequences (94 single nucleotide polymorphism targets and two control targets) in plasma using polymerase chain reaction for assessment of heart transplant rejection
00560,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; without pump oxygenator"
00561,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator, younger than 1 year of age"
00562,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator, age 1 year or older, for all noncoronary bypass procedures (eg, valve procedures) or for re-operation for coronary bypass more than 1 month after original operation"
00563,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; with pump oxygenator with hypothermic circulatory arrest"
00566,Anesthesia for direct coronary artery bypass grafting; without pump oxygenator
00567,Anesthesia for direct coronary artery bypass grafting; with pump oxygenator
0056U,Next-generation DNA sequencing of whole genome in blood to detect gene rearrangement for assessment of acute myelogenous leukemia
00580,Anesthesia for heart transplant or heart/lung transplant
0058T,Freezing preservation of reproductive ovarian tissue
0058U,Measurement of antibodies to Merkel cell polyoma virus oncoprotein in serum
0059U,Detection of antibodies to Merkel cell polyoma virus capsid protein in serum
00600,Anesthesia for procedures on cervical spine and cord; not otherwise specified
00604,Anesthesia for procedure on cervical spine and spinal cord
0060U,Genomic targeted sequence analysis of chromosome 2 of circulating cell-free fetal DNA in maternal blood for detection of twin zygosity
0061U,"Transcutaneous measurement of tissue oxygenation, oxyhemoglobin, deoxyhemoglobin, and papillary and reticular dermal hemoglobin concentrations using spatial frequency domain imaging and multi-spectral analysis"
00620,"Anesthesia for procedures on thoracic spine and cord, not otherwise specified"
00625,"Anesthesia for procedures on the thoracic spine and cord, via an anterior transthoracic approach; not utilizing 1 lung ventilation"
00626,"Anesthesia for procedures on the thoracic spine and cord, via an anterior transthoracic approach; utilizing 1 lung ventilation"
0062U,"IgG and IgM analysis of 80 biomarkers for systemic lupus erythematosus in serum, algorithm reported with a risk score"
00630,Anesthesia for procedures in lumbar region; not otherwise specified
00632,Anesthesia for procedures in lumbar region; lumbar sympathectomy
00635,Anesthesia for procedures in lumbar region; diagnostic or therapeutic lumbar puncture
0063U,"Measurement of 32 amines associated with autism spectrum disorder in urine by liquid chromatography-tandem mass spectrometry, algorithm reported as metabolic signature associated with autism spectrum disorder"
00640,"Anesthesia for manipulation of the spine or for closed procedures on the cervical, thoracic or lumbar spine"
0064U,Detection of Treponema pallidum antibody by immunoassay using rapid plasma reagin
0065U,Syphilis test by detection of non-treponemal antibody by immunoassay using rapid plasma reagin
0066U,Detection of placental alpha-microglobulin-1 (PAMG-1) by immunoassay with direct optical observation in cervico-vaginal fluid
00670,"Anesthesia for extensive spine and spinal cord procedures (eg, spinal instrumentation or vascular procedures)"
0067U,"Protein expression profiling of 4 biomarkers for breast cancer (matrix metalloproteinase-1 [MMP-1], carcinoembryonic antigen-related cell adhesion molecule 6 [CEACAM6], hyaluronoglucosaminidase [HYAL1], highly expressed in cancer protein [HEC1]), formalin-fixed paraffin-embedded precancerous breast tissue, algorithm reported as carcinoma risk score"
0068U,"Detection of Candida albicans, Candida glabrata, Candida parapsilosis, Candida kruseii, Candida tropicalis, and Candida auris using amplified probe technique with qualitative report of the presence or absence of each species"
0069U,Colorectal cancer gene expression profiling of miR-31-3 by real-time polymerase chain reaction (RT-PCR)
00700,Anesthesia for procedures on upper anterior abdominal wall; not otherwise specified
00702,Anesthesia for procedures on upper anterior abdominal wall; percutaneous liver biopsy
0070U,"Cytochrome P450 family 2, subfamily D, polypeptide 6 (CYP2D6 ) gene analysis for common and select rare variants (*2, *3, *4, *4N, *5, *6, *7, *8, *9, *10, *11, *12, *13, *14A, *14B, *15, *17, *29, *35, *36, *41, *57, *61, *63, *68, *83, *xN)"
0071T,Focused ultrasound destruction of uterine (less than 200 cc) fibroid tumors using MR guidance
0071U,"Cytochrome P450 family 2, subfamily D, polypeptide 6 (CYP2D6 ) full gene sequence analysis"
0072T,Focused ultrasound destruction of uterine (200 cc or greater) fibroid tumors using MR guidance
0072U,"Cytochrome P450 family 2, subfamily D, polypeptide 6 (CYP2D6 ) gene analysis of CYP2D7-2D7 hybrid gene"
00730,Anesthesia for procedures on upper posterior abdominal wall
00731,"Anesthesia for upper gastrointestinal endoscopic procedures, endoscope introduced proximal to duodenum; not otherwise specified"
00732,"Anesthesia for upper gastrointestinal endoscopic procedures, endoscope introduced proximal to duodenum; endoscopic retrograde cholangiopancreatography (ERCP)"
0073U,"Cytochrome P450 family 2, subfamily D, polypeptide 6 (CYP2D6 ) gene analysis of CYP2D7-2D6 hybrid gene"
0074U,"Cytochrome P450 family 2, subfamily D, polypeptide 6 (CYP2D6 ) gene analysis of non-duplicated gene when duplication/multiplication is trans in targeted sequence"
00750,Anesthesia for hernia repairs in upper abdomen; not otherwise specified
00752,Anesthesia for hernia repairs in upper abdomen; lumbar and ventral (incisional) hernias and/or wound dehiscence
00754,Anesthesia for hernia repairs in upper abdomen; omphalocele
00756,Anesthesia for hernia repairs in upper abdomen; transabdominal repair of diaphragmatic hernia
0075T,"Insertion of stents into vertebral artery via catheter, open or accessed through the skin including radiologic supervision and interpretation"
0075U,"Cytochrome P450 family 2, subfamily D, polypeptide 6 (CYP2D6 ) 3 gene duplication/multiplication analysis of targeted sequence"
0076T,"Insertion of stents into vertebral artery via catheter, open or accessed through the skin including radiologic supervision and interpretation"
0076U,"Cytochrome P450 family 2, subfamily D, polypeptide 6 (CYP2D6 ) 3 gene duplication/multiplication analysis of targeted sequence"
00770,Anesthesia for all procedures on major abdominal blood vessels
0077U,"Detection of immunoglobulin paraprotein (M-protein), including isotype, by immunoprecipitation and mass spectrometry in blood"
0078U,"Opioid-use disorder risk genotyping panel, 16 common variants (ABCB1, COMT, DAT1, DBH, DOR, DRD1, DRD2, DRD4, GABA, GAL, HTR2A, HTTLPR, MTHFR, MUOR, OPRK1, OPRM1), in buccal swab or other germline tissue sample, algorithm reported as positive or negative risk"
00790,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; not otherwise specified
00792,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; partial hepatectomy or management of liver hemorrhage (excluding liver biopsy)
00794,"Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; pancreatectomy, partial or total (eg, Whipple procedure)"
00796,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; liver transplant (recipient)
00797,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; gastric restrictive procedure for morbid obesity
0079U,"Comparative DNA analysis using multiple selected single-nucleotide polymorphisms (SNPs), in urine and buccal swab, for specimen identity verification"
00800,Anesthesia for procedures on lower anterior abdominal wall; not otherwise specified
00802,Anesthesia for procedures on lower anterior abdominal wall; panniculectomy
0080U,"Mass spectrometric analysis of galectin-3-binding protein and scavenger receptor cysteine-rich type 1 protein M130 in plasma, with five lung cancer clinical risk factors (age, smoking status, nodule diameter, nodule-spiculation status and nodule location), algorithm reported as a categorical probability of malignancy"
00811,"Anesthesia for lower intestinal endoscopic procedures, endoscope introduced distal to duodenum; not otherwise specified"
00812,"Anesthesia for lower intestinal endoscopic procedures, endoscope introduced distal to duodenum; screening colonoscopy"
00813,Anesthesia for combined upper and lower gastrointestinal endoscopic procedures
00820,Anesthesia for procedures on lower posterior abdominal wall
0082U,"Definitive drug testing for 90 or more drugs or substances by definitive chromatography with mass spectrometry and presumptive drug testing for any number of drug classes, by instrument chemistry analyzer, in urine, report of presence or absence of each drug, drug metabolite or substance"
00830,Anesthesia for hernia repairs in lower abdomen; not otherwise specified
00832,Anesthesia for repair of incisional hernia of lower abdomen
00834,"Anesthesia for hernia repairs in the lower abdomen not otherwise specified, younger than 1 year of age"
00836,"Anesthesia for hernia repairs in the lower abdomen not otherwise specified, infants younger than 37 weeks gestational age at birth and younger than 50 weeks gestational age at time of surgery"
0083U,"Evaluation of response to chemotherapy drugs using motility contrast tomography of fresh tissue, reported as likelihood of sensitivity or resistance"
00840,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; not otherwise specified
00842,Anesthesia for amniocentesis
00844,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; abdominoperineal resection
00846,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; radical hysterectomy
00848,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; pelvic exenteration
0084U,Red blood cell (RBC) antigen DNA genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens
00851,Anesthesia for intraperitoneal procedures in lower abdomen including laparoscopy; tubal ligation/transection
0085T,Breath test for heart transplant rejection
0085U,Enzyme-linked immunosorbent assay (ELISA) for cytolethal distending toxin B (CdtB) and vinculin IgG antibodies
00860,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; not otherwise specified"
00862,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; renal procedures, including upper one-third of ureter, or donor nephrectomy"
00864,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; total cystectomy"
00865,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; radical prostatectomy (suprapubic, retropubic)"
00866,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; adrenalectomy"
00868,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; renal transplant (recipient)"
0086U,"Identification of bacteria and fungi in blood culture by rRNA fluorescence in situ hybridization (FISH) , 6 or more organism targets, reported as positive or negative with phenotypic minimum inhibitory concentration (MIC)-based antimicrobial susceptibility"
00870,"Anesthesia for extraperitoneal procedures in lower abdomen, including urinary tract; cystolithotomy"
00872,Anesthesia for extracorporeal shock wave lithotripsy with water bath
00873,"Anesthesia for lithotripsy, extracorporeal shock wave; without water bath"
0087U,"mRNA gene expression profiling by microarray of 1283 genes in heart transplant biopsy tissue, algorithm reported as probability score for allograft rejection and injury"
00880,Anesthesia for procedures on major lower abdominal vessels; not otherwise specified
00882,Anesthesia for procedures on major lower abdominal vessels; inferior vena cava ligation
0088U,"Microarray gene expression profiling of 1494 genes in allograft kidney transplant biopsy tissue, algorithm reported as a probability score for rejection"
0089U,"Cutaneous melanoma mRNA gene expression profiling by RTqPCR, PRAME and LINC00518 on specimen collected using adhesive patch"
00902,Anesthesia for; anorectal procedure
00904,Anesthesia for; radical perineal procedure
00906,Anesthesia for; vulvectomy
00908,Anesthesia for; perineal prostatectomy
0090U,"Cutaneous melanoma mRNA gene expression profiling by real-time polymerase chain reaction (RT-PCR) of 23 genes (14 content and 9 housekeeping) in formalin-fixed paraffin-embedded tissue, algorithm reported as benign, indeterminate, or malignant"
00910,Anesthesia for transurethral procedures (including urethrocystoscopy); not otherwise specified
00912,Anesthesia for transurethral procedures (including urethrocystoscopy); transurethral resection of bladder tumor(s)
00914,Anesthesia for transurethral procedures (including urethrocystoscopy); transurethral resection of prostate
00916,Anesthesia for management of post-transurethral resection bleeding
00918,"Anesthesia for transurethral procedures (including urethrocystoscopy); with fragmentation, manipulation and/or removal of ureteral calculus"
0091U,"Screening for colorectal cancer by cell enumeration of circulating neoplastic cells in whole blood, algorithm, reported as positive or negative"
00920,Anesthesia for procedures on male genitalia (including open urethral procedures); not otherwise specified
00921,"Anesthesia for procedures on male genitalia (including open urethral procedures); vasectomy, unilateral or bilateral"
00922,Anesthesia for procedures on male genitalia (including open urethral procedures); seminal vesicles
00924,"Anesthesia for procedures on male genitalia (including open urethral procedures); undescended testis, unilateral or bilateral"
00926,"Anesthesia for procedures on male genitalia (including open urethral procedures); radical orchiectomy, inguinal"
00928,"Anesthesia for procedures on male genitalia (including open urethral procedures); radical orchiectomy, abdominal"
0092U,"Immunoassay of 3 protein biomarkers for lung cancer in plasma using magnetic nanosensor technology, algorithm reported as risk score for likelihood of malignancy"
00930,"Anesthesia for procedures on male genitalia (including open urethral procedures); orchiopexy, unilateral or bilateral"
00932,Anesthesia for procedures on male genitalia (including open urethral procedures); complete amputation of penis
00934,Anesthesia for procedures on male genitalia (including open urethral procedures); radical amputation of penis with bilateral inguinal lymphadenectomy
00936,Anesthesia for procedures on male genitalia (including open urethral procedures); radical amputation of penis with bilateral inguinal and iliac lymphadenectomy
00938,Anesthesia for insertion of penile prosthesis
0093U,"Prescription drug monitoring of 65 common drugs by liquid chromatography-tandem mass spectrometry in urine, each drug reported detected or not detected"
00940,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); not otherwise specified"
00942,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); colpotomy, vaginectomy, colporrhaphy, and open urethral procedures"
00944,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); vaginal hysterectomy"
00948,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); cervical cerclage"
0094U,Rapid sequence analysis of genome
00950,Anesthesia for culdoscopy
00952,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); hysteroscopy and/or hysterosalpingography"
0095T,Removal of upper spine artificial disc
0095U,"ELISA analysis of eotaxin-3 (CCL26 [C-C motif chemokine ligand 26]) and major basic protein (PRG2 [proteoglycan 2, pro eosinophil major basic protein]), specimen obtained by swallowed nylon string, algorithm reported as predictive probability index for active eosinophilic esophagitis"
0096U,"Detection of human papillomavirus (HPV), high-risk types (16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68),in male urine"
0097U,"Detection of gastrointestinal infectious agent by multiplex reverse transcription and multiplex amplified probe technique for Campylobacter [C. jejuni/C. coli/C. upsaliensis], Clostridium difficile [C. difficile] toxin A/B, Plesiomonas shigelloides, Salmonella, Vibrio [V. parahaemolyticus/V. vulnificus/V. cholerae], including specific identification of Vibrio cholerae, Yersinia enterocolitica, Enteroaggregative Escherichia coli [EAEC], Enteropathogenic Escherichia coli [EPEC], Enterotoxigenic Escherichia coli [ETEC] lt/st, Shiga-like toxin-producing Escherichia coli [STEC] stx1/stx2 [including specific identification of the E. coli O157 serogroup within STEC], Shigella/Enteroinvasive Escherichia coli [EIEC], Cryptosporidium, Cyclospora cayetanensis, Entamoeba histolytica, Giardia lamblia [also known as G. intestinalis and G. duodenalis], adenovirus F 40/41, astrovirus, norovirus GI/GII, rotavirus A, sapovirus [Genogroups I, II, IV, and V]"
0098T,Revision and replacement of an upper spine artificial disc
